f.eid,ECG_I_filtered_mean,ECG_I_filtered_std,ECG_I_filtered_max,ECG_I_filtered_min,ECG_I_dynamic_mean,ECG_I_dynamic_std,ECG_I_dynamic_max,ECG_I_dynamic_min,ECG_II_filtered_mean,ECG_II_filtered_std,ECG_II_filtered_max,ECG_II_filtered_min,ECG_II_dynamic_mean,ECG_II_dynamic_std,ECG_II_dynamic_max,ECG_II_dynamic_min,ECG_III_filtered_mean,ECG_III_filtered_std,ECG_III_filtered_max,ECG_III_filtered_min,ECG_III_dynamic_mean,ECG_III_dynamic_std,ECG_III_dynamic_max,ECG_III_dynamic_min,ECG_aVR_filtered_mean,ECG_aVR_filtered_std,ECG_aVR_filtered_max,ECG_aVR_filtered_min,ECG_aVR_dynamic_mean,ECG_aVR_dynamic_std,ECG_aVR_dynamic_max,ECG_aVR_dynamic_min,ECG_aVL_filtered_mean,ECG_aVL_filtered_std,ECG_aVL_filtered_max,ECG_aVL_filtered_min,ECG_aVL_dynamic_mean,ECG_aVL_dynamic_std,ECG_aVL_dynamic_max,ECG_aVL_dynamic_min,ECG_aVF_filtered_mean,ECG_aVF_filtered_std,ECG_aVF_filtered_max,ECG_aVF_filtered_min,ECG_aVF_dynamic_mean,ECG_aVF_dynamic_std,ECG_aVF_dynamic_max,ECG_aVF_dynamic_min,ECG_V1_filtered_mean,ECG_V1_filtered_std,ECG_V1_filtered_max,ECG_V1_filtered_min,ECG_V1_dynamic_mean,ECG_V1_dynamic_std,ECG_V1_dynamic_max,ECG_V1_dynamic_min,ECG_V2_filtered_mean,ECG_V2_filtered_std,ECG_V2_filtered_max,ECG_V2_filtered_min,ECG_V2_dynamic_mean,ECG_V2_dynamic_std,ECG_V2_dynamic_max,ECG_V2_dynamic_min,ECG_V3_filtered_mean,ECG_V3_filtered_std,ECG_V3_filtered_max,ECG_V3_filtered_min,ECG_V3_dynamic_mean,ECG_V3_dynamic_std,ECG_V3_dynamic_max,ECG_V3_dynamic_min,ECG_V4_filtered_mean,ECG_V4_filtered_std,ECG_V4_filtered_max,ECG_V4_filtered_min,ECG_V4_dynamic_mean,ECG_V4_dynamic_std,ECG_V4_dynamic_max,ECG_V4_dynamic_min,ECG_V5_filtered_mean,ECG_V5_filtered_std,ECG_V5_filtered_max,ECG_V5_filtered_min,ECG_V5_dynamic_mean,ECG_V5_dynamic_std,ECG_V5_dynamic_max,ECG_V5_dynamic_min,ECG_V6_filtered_mean,ECG_V6_filtered_std,ECG_V6_filtered_max,ECG_V6_filtered_min,ECG_V6_dynamic_mean,ECG_V6_dynamic_std,ECG_V6_dynamic_max,ECG_V6_dynamic_min
1000038,8.791666666666666,15.616815634294833,150.0,-14.0,11.5506,53.71183332972353,781.5,-92.0,11.745,13.124149813733968,99.0,-15,24.4694,50.85537398977615,820.25,-97.0,2.2683333333333335,10.709481650491876,49,-72.0,12.9188,20.660750387147125,108,-98.0,-11.431666666666667,13.493899753427678,11.0,-123.0,-17.759,51.27206372870123,95.0,-684.0,2.881666666666667,11.649077097445197,105.0,-29.0,-0.4398,31.775392616929217,542.0,-60.0,7.215,9.142871995895673,49,-22,18.9412,28.027967149973612,413.0,-51.0,1.3466666666666667,19.379107879936637,23.0,-136.0,101.7552,31.278274775952717,339,-83.0,0.0,8.000888458744436,8.75,-12.0,12.327,29.443866441077333,286.0,-155.0,7.871666666666667,19.49115689799408,40.0,-113.0,69.182,32.480007327585376,319.0,-86,9.915,21.996464299215603,78.0,-126.0,10.8114,36.87008313036465,319.0,-159.0,12.243333333333334,18.735459843717624,112.0,-88,-3.3578,33.41704623631478,353.0,-139.0,0.0,9.639205098626073,41.75,-1.0,0.0,16.196505308079914,0.0,0.0
1000056,6.615,12.800655256665575,86.0,-29.0,-24.8998,47.371731654648215,85.0,-438.0,7.821666666666666,32.997068514574984,299.0,-54,24.157,89.55399237889957,366.0,-637.0,0.46,28.447818897061335,237,-112.0,49.0568,50.789089121188226,326,-202.0,-8.448333333333334,20.609965159817445,35.0,-183.0,0.6268,66.9896195075028,538.0,-205.0,2.7716666666666665,14.60101128537183,91.0,-88.0,-36.73,20.172701851759967,120.0,-146.0,4.38,30.12378240969528,267,-80,36.8558,68.83332482424483,344.0,-419.0,-9.186666666666667,20.95817634136032,67.0,-176.0,21.2742,42.69386155362384,120,-288.0,-7.453333333333333,20.8425323690658,61.0,-184.0,-30.542,42.287097748604126,52.0,-352.0,0.895,35.866520716865374,172.0,-272.0,84.6274,57.89730364395219,297.0,-250,16.433333333333334,76.46028076451503,385.0,-333.5,-7.5854,107.58679057783999,411.0,-615.0,8.348333333333333,37.050150659462766,172.0,-247,36.6146,52.89063874486675,245.0,-253.0,1.5566666666666666,36.327264171999275,298.0,-94.0,7.9174,57.43304081484803,368.0,-289.0
1000061,10.681666666666667,24.288206957744375,179.0,-56.0,-23.1842,31.03131757370286,218.0,-121.0,11.08,16.311456096866397,139.0,-14,-6.8622,30.047748853449903,173.0,-79.0,-0.135,11.252115726979229,42,-72.0,16.322,28.587639216976278,81,-112.0,-12.096666666666666,19.95605143531377,34.0,-160.0,15.28,26.99239152057483,88.0,-193.0,4.973333333333334,17.10699532030359,121.0,-49.0,-19.507,25.779021529142646,137.0,-94.0,5.581666666666667,7.001428227313498,55,-26,4.9812,24.892827211066244,81.0,-78.0,-6.818333333333333,18.34262787122451,64.0,-120.0,47.2464,20.515839905789868,127,-73.0,0.07333333333333333,11.764974382556991,78.0,-43.0,-2.081,17.009868870746768,97.0,-65.0,5.3133333333333335,15.386850085561878,85.0,-10.0,26.5472,19.357888139257575,118.0,5,11.625,27.88071690254754,244.0,-8.0,13.1714,29.806697603726583,264.0,-17.0,13.613333333333333,35.29599347738431,309.0,-28,68.3064,38.382877941082015,398.0,9.0,12.653333333333334,26.62523531455742,223.0,-26.0,51.0284,29.073995140675112,285.0,-6.0
1000232,12.1,21.06276335146934,140.0,-41.0,-1.5466,32.15812538752842,158.0,-90.0,12.716666666666667,13.791774924046416,69.0,-38,24.215,17.439724051715956,94.0,-41.0,0.041666666666666664,15.447111830011748,40,-130.0,25.7616,24.94133848533394,96,-132.0,-13.64,16.055333485584576,27.0,-103.0,-11.0858,22.66274560506736,51.0,-121.0,5.773333333333333,17.15348231571524,134.0,-37.0,-13.3998,27.416840809254445,144.0,-92.0,6.471666666666667,10.244634232394807,26,-64,25.24,14.301468456071214,64.0,-60.0,-3.151666666666667,14.359387076829645,35.0,-76.0,15.8308,18.874611820114342,70,-68.0,4.54,42.27913275679465,155.0,-190.0,39.9568,50.59045892023514,201.0,-170.0,7.198333333333333,41.43206082116709,207.0,-167.0,47.6304,51.63533476060749,269.0,-160,10.508333333333333,41.863189047446234,243.0,-154.0,46.305,50.31937971597027,304.0,-138.0,12.816666666666666,37.69314334936203,243.0,-125,28.5748,44.71081753848838,273.0,-117.0,12.521666666666667,26.770746420092376,186.0,-67.0,9.644,31.725706674556516,193.0,-83.0
1000267,11.9,23.05442835263253,186.0,-46.0,34.0718,29.08195049786035,234.0,-56.0,16.015,15.823867258037776,106.0,-6,40.6074,44.81147693660632,222.0,-54.0,3.441666666666667,17.19534618888365,110,-121.0,6.5356,34.896256713865455,162,-153.0,-15.158333333333333,17.832365627949894,12.0,-130.0,-37.0874,33.50085015697363,37.0,-196.0,4.051666666666667,18.70166651813564,153.0,-75.0,14.0132,23.01846705929828,179.0,-86.0,9.958333333333334,11.905178028441611,92,-27,23.822,37.43712483618367,173.0,-58.0,-9.445,12.911376443534852,17.0,-93.0,-22.7376,16.748801337409194,23,-123.0,-6.133333333333334,12.512482656220635,29.0,-83.0,-39.4514,15.26201946139501,7.0,-136.0,-3.473333333333333,12.166616945140138,30.0,-58.0,-29.6076,19.357888139257575,15.0,-111,0.36,12.64783646480466,43.0,-59.0,14.3838,18.28884401427075,72.0,-65.0,6.248333333333333,18.800797781536353,132.0,-83,13.3732,21.618795566821014,154.0,-95.0,10.621666666666666,21.52762250123212,165.0,-48.0,-7.5606,25.539379938440167,173.0,-96.0
1000343,5.376666666666667,17.911489484561454,149.0,-25.0,-29.0744,48.76415963225451,168.0,-245.0,6.631666666666667,29.915035192283423,227.0,-89,10.916,85.0966118244434,304.0,-322.0,0.75,16.98511603335893,115,-79.0,39.9904,56.77067119420026,208,-225.0,-7.183333333333334,23.120619705266456,49.0,-180.0,9.3306,63.28167273105223,259.0,-214.0,2.0216666666666665,8.97206018085528,84.0,-31.0,-34.2782,31.46513633785813,158.0,-157.0,3.901666666666667,22.569935693799,171,-83,25.6972,68.09384048619964,254.0,-252.0,-5.198333333333333,21.418971276780677,113.0,-156.0,-24.6722,31.323964422786588,125,-244.0,19.535,49.66258257816777,232.0,-216.0,50.7872,62.15598375184806,300.0,-242.0,5.636666666666667,45.56418171717293,242.0,-232.0,46.4754,53.63351745727666,308.0,-271,19.955,59.21874400615625,536.5,-123.0,59.2502,73.00586003849281,671.0,-161.0,13.695,70.29903500700104,537.75,-100,94.7164,91.59914175929815,879.0,-93.0,8.83,58.67334232852259,467.75,-92.0,-3.7068,82.63932256353509,594.0,-304.0
1000453,13.068333333333333,31.39682038926164,234.0,-2.0,-48.7438,36.147428145858456,194.0,-75.0,20.555,26.167606724090504,188.0,-22,4.0312,32.38342518264552,183.0,-55.0,6.601666666666667,10.872580062810401,50,-62.0,52.775,13.940716445003822,107,-29.0,-18.041666666666668,28.374165430702785,10.0,-210.0,22.6024,33.601451073428365,62.0,-186.0,3.263333333333333,19.37302219295918,146.0,-6.0,-50.5114,22.101463074647345,108.0,-69.0,13.83,12.573163219068354,87,-22,28.6468,17.172828822299486,114.0,-25.0,-4.92,50.34113890911356,55.0,-331.0,4.7156,58.52387817498085,84,-337.0,-3.89,78.89548719667052,120.0,-487.25,22.0516,93.15599034651503,172.0,-514.0,13.546666666666667,30.730622440093132,93.0,-154.0,14.8708,38.80054777139107,149.0,-173,21.986666666666668,47.9281040262971,379.0,-33.0,28.1076,59.23220088971876,487.0,-52.0,21.746666666666666,52.464996161462,414.0,-28,13.4958,64.92417409840498,479.0,-67.0,15.651666666666667,39.411550725080026,295.0,-25.0,16.8642,47.95404631894998,320.0,-43.0
1000724,13.793333333333333,17.8526549535045,139.0,-7.0,191.1656,44.484264371123416,374.0,102.0,16.133333333333333,26.415252328069016,218.0,-14,133.1116,35.261729189590234,373.0,71.0,1.8266666666666667,13.038786582943812,110,-13.0,-58.054,26.463225124689544,81,-134.0,-16.136666666666667,21.619003728715676,9.0,-176.0,-161.8896,37.89061376963957,-88.0,-366.0,5.74,8.260694078990376,50.0,-29.0,124.858,32.078999922067396,223.0,59.0,9.168333333333333,18.91198906925328,160,-11,37.7838,21.8466806989071,205.0,-7.0,0.2,28.71428216062522,99.0,-220.0,-80.1102,31.608373193823184,36,-317.0,8.408333333333333,39.59539026901434,205.0,-269.0,-59.4366,42.32906779554683,152.0,-352.0,6.658333333333333,26.73913979959382,166.0,-164.0,16.1292,29.47513031964405,193.0,-174,9.883333333333333,26.31469276954522,198.0,-76.0,62.9488,33.885415425518985,288.0,-62.0,9.738333333333333,29.51829710347277,246.0,-40,47.4332,31.968671191652618,307.0,-26.0,8.788333333333334,24.045169935399134,203.0,-12.0,2.163,26.61683735908532,213.0,-41.0
1000887,13.036666666666667,20.459683662157527,164.0,-32.0,98.8644,99.93275545405521,366.0,-86.0,19.835,21.319969707608244,181.0,-14,43.1444,66.9470174738203,310.0,-38.0,6.253333333333333,17.236661187390347,142,-63.0,-55.72,70.47561847901727,172,-230.0,-17.605,19.017947006271033,16.0,-158.0,-70.7552,77.41034344943834,51.0,-338.0,3.0866666666666664,15.563498606961382,101.0,-68.0,77.5418,79.72479070377044,258.0,-109.0,13.336666666666666,16.496767023335885,158,-11,-6.036,47.20173200212043,170.0,-97.0,-1.7233333333333334,12.345449454038611,11.0,-95.0,-43.5992,42.032731999716596,29,-187.0,14.311666666666667,32.18821519162288,161.0,-170.0,47.7046,50.83340770438275,239.0,-186.0,13.743333333333334,27.35307640630006,123.0,-168.0,-50.5572,42.079528611428145,98.0,-269,17.748333333333335,32.637529479964556,257.0,-96.0,47.0224,49.75749489514118,324.0,-100.0,15.891666666666667,31.077643581126857,251.0,-52,-65.6172,71.54402745275108,278.0,-200.0,13.466666666666667,26.830186150843026,217.0,-24.0,-57.3944,66.1091464824649,242.0,-172.0
1000891,9.62,12.19162007282051,97.0,-12.0,-29.3332,13.981622858595493,68.0,-63.0,21.948333333333334,24.525068750611535,217.0,-2,-3.2324,30.46200240036758,220.0,-53.0,11.486666666666666,13.044276735624539,120,-5.0,26.1008,19.108705852568878,170,-11.0,-16.991666666666667,18.24769201539989,1.0,-159.0,16.5292,21.69139800381709,49.0,-135.0,-0.875,3.926469062233495,8.0,-22.0,-27.4788,8.810669978645613,-9.0,-64.0,16.963333333333335,18.65668751115505,168,-3,11.681,24.445810254520094,195.0,-30.0,-5.6033333333333335,26.087915252511504,23.0,-207.0,-94.309,30.38187484339964,-55,-321.0,2.868333333333333,39.31625190540026,60.0,-255.0,-41.3262,45.60026966543071,31.0,-342.0,13.356666666666667,35.76333488675549,99.0,-204.0,-86.5296,42.12747706473768,24.0,-328,17.155,30.873413184594064,234.0,-61.0,-40.072,38.97392995323926,193.0,-148.0,13.89,22.72424329506559,192.0,-10,13.2496,30.930911720154647,218.0,-39.0,10.75,17.25217377607819,149.0,-2.0,9.11,25.38791641706739,172.0,-32.0
